,id,imdb_id,title,vote_average
0,155,tt0468569,The Dark Knight,8.512
1,122,tt0167260,The Lord of the Rings: The Return of the King,8.474
2,346,tt0047478,Seven Samurai,8.452
3,569094,tt9362722,Spider-Man: Across the Spider-Verse,8.442
4,620249,tt10734928,The Legend of Hei,8.421
5,324857,tt4633694,Spider-Man: Into the Spider-Verse,8.404
6,120,tt0120737,The Lord of the Rings: The Fellowship of the Ring,8.402
7,14537,tt0056058,Harakiri,8.4
8,1891,tt0080684,The Empire Strikes Back,8.4
9,121,tt0167261,The Lord of the Rings: The Two Towers,8.385
